index,Ru1,Ru2,Ru3,v1,v2,v3,v4,v5,boundrary area (m2),length (m),width (m),travel length (m),mobile robot travel time (min),number of assembly sequences,robot viability rating [roof panels] (0 to 1),number of roof panels,robot viability rating [wall panels] (0 to 1),number of wall panels,total number of panels,total weight (kg),embodied carbon (kgCO2e),max deflection (cm),required quantity of CLT master panels for fabrication,number of assembly sequences requiring extra support
966,0,20,15,2,32,57,1,1,98,14,7,1998,74,31,0.45,31,0.6,49,80,8450.840821,3693,0.290444,3.2,6
967,5,6,1,0,51,60,1,1,112,14,8,2195,82,31,0.45,31,0.57,51,82,8184.675339,3577,0.234621,3.04,7
968,5,11,15,1,69,53,1,1,112,14,8,2031,76,31,0.44,31,0.6,50,81,8068.224665,3526,0.244144,3.04,7
969,4,2,6,1,66,61,1,2,112,14,8,2234,83,32,0.45,32,0.6,50,82,8152.288272,3563,0.29511,3.12,7
970,6,10,15,0,61,67,1,1,80,10,8,1668,62,31,0.43,31,0.61,50,81,8013.559031,3502,0.244419,2.95,6
971,1,1,7,0,31,48,0,0,110,10,11,2018,75,34,0.44,34,0.5,52,86,8845.169551,3865,0.262389,3.27,7
972,2,5,8,0,60,33,2,1,98,7,14,2373,88,35,0.5,35,0.54,50,85,8509.743871,3719,0.26658,3.17,7
973,5,9,2,2,40,46,2,2,98,7,14,2081,78,34,0.49,34,0.51,51,85,8608.636145,3762,0.281288,3.21,7
974,1,20,7,2,37,66,2,2,88,11,8,1895,71,31,0.41,31,0.51,52,83,8399.158322,3670,0.262314,3.24,7
975,5,8,2,2,44,38,1,1,88,8,11,1842,69,33,0.45,33,0.55,50,83,8642.673103,3777,0.271111,3.26,9
976,3,0,6,3,62,36,2,1,88,11,8,1770,66,34,0.43,34,0.49,53,87,8638.373722,3775,0.280295,3.11,6
977,1,4,11,2,62,51,2,0,110,10,11,1904,71,33,0.49,33,0.52,50,83,8203.811452,3585,0.258001,3.09,9
978,1,1,15,1,44,66,0,1,110,10,11,1854,69,34,0.49,34,0.56,49,83,8213.737672,3589,0.259827,3.12,11
979,7,14,10,2,64,53,0,0,112,14,8,2013,75,31,0.45,31,0.61,48,79,8079.575316,3531,0.318515,3.12,6
980,5,2,0,2,63,32,1,2,120,10,12,1905,71,35,0.5,35,0.6,49,84,8438.854489,3688,0.297818,3.27,8
981,5,5,2,2,31,67,0,0,88,8,11,1712,64,32,0.47,32,0.6,45,77,7946.474568,3473,0.275455,3.06,8
982,4,5,10,3,58,44,1,1,98,14,7,1898,71,30,0.41,30,0.57,51,81,8411.64761,3676,0.299457,2.96,8
983,2,18,14,3,63,51,2,1,120,10,12,2241,84,34,0.51,34,0.54,51,85,8265.720696,3612,0.241231,2.95,14
984,5,17,1,0,70,53,0,1,104,13,8,1991,74,32,0.48,32,0.59,49,81,7969.83462,3483,0.236466,2.97,7
985,5,9,0,2,52,30,0,1,110,10,11,1836,68,33,0.49,33,0.52,50,83,8626.440293,3770,0.287481,3.24,10
986,7,6,8,2,66,30,1,1,98,14,7,2058,77,30,0.43,30,0.58,49,79,8504.021372,3716,0.29309,3.2,6
987,2,12,12,2,64,39,1,1,105,7,15,2646,99,37,0.48,37,0.6,50,87,8184.209332,3576,0.26663,3.1,7
988,2,11,16,0,66,36,1,1,112,14,8,2151,80,31,0.45,31,0.58,50,81,8623.838682,3769,0.320027,3.28,8
989,0,18,11,1,68,45,0,2,112,14,8,2274,85,32,0.48,32,0.54,50,82,8347.982012,3648,0.273301,3.12,7
990,4,20,12,2,31,69,1,1,112,14,8,1968,73,32,0.45,32,0.59,50,82,8244.578075,3603,0.259677,3.12,9
991,1,1,13,2,38,32,1,0,80,10,8,1800,67,34,0.5,34,0.53,50,84,8761.500387,3829,0.284303,3.27,11
992,7,3,9,1,44,60,2,1,98,14,7,2141,80,30,0.44,30,0.54,50,80,8292.887371,3624,0.260402,3.15,6
993,2,15,2,1,32,67,1,1,110,10,11,2126,79,34,0.47,34,0.63,47,81,8159.364372,3566,0.255303,3.23,11
994,3,22,14,1,62,54,2,1,105,15,7,2400,89,34,0.48,34,0.59,50,84,8112.412997,3545,0.278954,3.06,10
995,5,2,6,2,60,50,2,0,84,7,12,2025,75,34,0.49,34,0.46,53,87,8469.636719,3701,0.257866,3.14,7
996,5,0,2,1,48,39,0,2,104,13,8,1911,71,32,0.44,32,0.51,49,81,8680.719389,3793,0.308197,3.26,10
997,3,10,8,2,61,56,2,1,110,11,10,2442,91,32,0.49,32,0.59,49,81,7834.966359,3424,0.251361,3.02,7
998,1,17,12,2,48,50,2,1,110,10,11,1863,69,34,0.45,34,0.58,49,83,8350.815269,3649,0.254931,3.21,10
999,5,17,4,3,35,64,1,1,110,10,11,2097,78,34,0.51,34,0.55,49,83,8386.650355,3665,0.24558,3.08,6
